recommendation_type,entity_type,entity_id,customer_segment,priority,recommendation,business_reason
Reactivation Campaign,Customer,CUST04236,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Win-back Campaign,Customer,CUST04237,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Campaign,Customer,CUST04238,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST04239,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Reactivation Campaign,Customer,CUST04240,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST04241,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST04242,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Reactivation Campaign,Customer,CUST04243,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Win-back Campaign,Customer,CUST04244,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Campaign,Customer,CUST04246,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST04247,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST04248,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST04249,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST04250,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST04251,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST04252,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST04253,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST04254,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST04255,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST04256,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Second Booking Campaign,Customer,CUST04257,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
Loyalty Rewards,Customer,CUST04258,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
General Engagement,Customer,CUST04259,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST04260,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST04261,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST04262,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST04263,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST04264,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST04265,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Rewards,Customer,CUST04266,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST04267,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST04268,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST04269,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Rewards,Customer,CUST04270,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST04271,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST04272,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Campaign,Customer,CUST04273,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST04274,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Rewards,Customer,CUST04275,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST04276,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Rewards,Customer,CUST04277,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST04278,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST04279,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Win-back Campaign,Customer,CUST04280,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Reactivation Campaign,Customer,CUST04281,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Win-back Campaign,Customer,CUST04282,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Reactivation Campaign,Customer,CUST04283,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Reactivation Campaign,Customer,CUST04284,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Win-back Campaign,Customer,CUST04286,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Rewards,Customer,CUST04287,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
General Engagement,Customer,CUST04288,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST04289,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Rewards,Customer,CUST04290,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Rewards,Customer,CUST04291,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST04292,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST04293,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST04294,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST04295,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST04296,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Reactivation Campaign,Customer,CUST04298,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST04299,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST04300,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST04301,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Rewards,Customer,CUST04302,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Win-back Campaign,Customer,CUST04303,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Rewards,Customer,CUST04304,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST04305,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST04306,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST04307,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Reactivation Campaign,Customer,CUST04308,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Rewards,Customer,CUST04309,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST04310,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Reactivation Campaign,Customer,CUST04311,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST04312,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST04313,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Reactivation Campaign,Customer,CUST04314,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Rewards,Customer,CUST04315,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST04316,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST04317,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST04318,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST04319,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST04320,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST04321,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST04322,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Win-back Campaign,Customer,CUST04323,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Campaign,Customer,CUST04324,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST04325,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Campaign,Customer,CUST04326,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST04327,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST04328,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST04329,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST04330,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST04331,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST04332,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST04333,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Rewards,Customer,CUST04334,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Win-back Campaign,Customer,CUST04335,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST04336,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST04337,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST04338,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST04339,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST04340,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Second Booking Campaign,Customer,CUST04341,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
General Engagement,Customer,CUST04342,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST04343,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Rewards,Customer,CUST04344,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST04345,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST04346,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST04347,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST04348,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Win-back Campaign,Customer,CUST04349,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST04350,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST04351,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST04352,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST04353,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST04354,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Rewards,Customer,CUST04355,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST04356,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST04357,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST04358,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST04359,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST04360,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST04361,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Rewards,Customer,CUST04362,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST04363,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST04364,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Reactivation Campaign,Customer,CUST04365,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST04366,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST04367,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST04368,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST04369,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST04370,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST04371,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST04372,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST04373,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST04374,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST04375,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST04376,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Rewards,Customer,CUST04377,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Win-back Campaign,Customer,CUST04378,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST04379,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST04380,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Rewards,Customer,CUST04381,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST04382,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Win-back Campaign,Customer,CUST04383,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Campaign,Customer,CUST04384,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST04385,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Rewards,Customer,CUST04386,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST04387,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST04388,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Second Booking Campaign,Customer,CUST04389,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
Win-back Campaign,Customer,CUST04390,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Campaign,Customer,CUST04391,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST04392,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST04393,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Reactivation Campaign,Customer,CUST04394,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Win-back Campaign,Customer,CUST04395,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST04396,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST04397,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST04398,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST04399,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Reactivation Campaign,Customer,CUST04400,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST04401,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST04402,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST04403,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Second Booking Campaign,Customer,CUST04404,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
Loyalty Campaign,Customer,CUST04405,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST04406,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST04407,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Campaign,Customer,CUST04408,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST04409,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
General Engagement,Customer,CUST04410,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST04411,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Reactivation Campaign,Customer,CUST04412,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST04414,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST04415,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Rewards,Customer,CUST04416,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
General Engagement,Customer,CUST04417,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Rewards,Customer,CUST04418,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Reactivation Campaign,Customer,CUST04419,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Reactivation Campaign,Customer,CUST04420,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
Loyalty Campaign,Customer,CUST04421,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
General Engagement,Customer,CUST04422,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Second Booking Campaign,Customer,CUST04423,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
General Engagement,Customer,CUST04424,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Win-back Campaign,Customer,CUST04425,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Reactivation Campaign,Customer,CUST04426,Lost Customers,MEDIUM,Send a reactivation offer and highlight relevant routes or services.,Customer activity has declined significantly.
General Engagement,Customer,CUST04427,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Second Booking Campaign,Customer,CUST04428,New Customers,MEDIUM,Offer a first-repeat booking incentive.,The customer should be encouraged to make a second booking.
General Engagement,Customer,CUST04429,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
General Engagement,Customer,CUST04430,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST04431,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Win-back Campaign,Customer,CUST04432,At Risk,HIGH,Launch a personalized win-back campaign with a targeted discount.,Customer activity indicates potential churn risk.
Loyalty Rewards,Customer,CUST04433,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
Loyalty Campaign,Customer,CUST04434,Potential Loyalists,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Rewards,Customer,CUST04436,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
General Engagement,Customer,CUST04437,Big Spenders,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
Loyalty Campaign,Customer,CUST04438,Loyal Customers,HIGH,"Provide loyalty points, member benefits and personalized offers.",Repeated booking behavior indicates strong customer engagement.
Loyalty Rewards,Customer,CUST04439,Champions,HIGH,"Offer loyalty rewards, premium benefits and referral incentives.",High-value customers are likely to respond well to retention programs.
General Engagement,Customer,CUST04440,Need Attention,LOW,Send personalized service updates and relevant offers.,Maintain customer engagement without excessive marketing cost.
